glottocode,name,level,iso639_3,family_id,family_name,parent_id,parent_name,macroareas,countries,latitude,longitude
ghot1243,Ghotuo,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aaa,atla1278,Atlantic-Congo,afen1234,Afenmai-Bendel,Africa,Nigeria,7.11551,5.95663
alum1246,Arum,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aab,atla1278,Atlantic-Congo,alum1251,Alumu-Akpondu,Africa,Nigeria,9.01513,8.55956
arii1243,Ari,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aac,suki1244,Suki-Gogodala,ariw1234,Ari-Waruna,Papunesia,Papua New Guinea,-7.95526,142.4
amal1242,Amal,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aad,sepi1257,Sepik,sepi1257,Sepik,Papunesia,Papua New Guinea,-4.04517,141.995
arbe1236,Arbëreshë Albanian,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aae,indo1319,Indo-European,sout3378,Southern Tosk,Eurasia,Italy,38.911,16.7164
aran1261,Aranadan,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aaf,drav1251,Dravidian,mala1541,Malayalamoid,Eurasia,India,11.35252,75.79538
ambr1239,Ambrak,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aag,nucl1708,Nuclear Torricelli,yang1294,Yangum-Ambrak,Papunesia,Papua New Guinea,-3.61,142.56
abua1245,Abu' Arapesh,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aah,nucl1708,Nuclear Torricelli,buki1250,Bukiyip-Abu,Papunesia,Papua New Guinea,-3.461612,142.917031
arif1239,Arifama-Miniafia,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aai,aust1307,Austronesian,arei1235,Are linkage,Papunesia,Papua New Guinea,-9.15565,149.246
anka1246,Ankave,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aak,anga1289,Angan,sout3130,Ankave-Tainae-Akoye,Papunesia,Papua New Guinea,-7.19444,145.754
afad1236,Afade,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aal,afro1255,Afro-Asiatic,koto1268,Kotoko Septentrional 1,Africa,Cameroon;Nigeria,12.0551,14.6343
anam1249,Anambé,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aan,tupi1275,Tupian,araw1290,Arawetic,South America,Brazil,-2.71119,-49.303
alge1240,Algerian Saharan Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aao,afro1255,Afro-Asiatic,nort3191,North African Arabic,Africa,Algeria;Western Sahara;Libya;Morocco;Niger,20.8884,4.80626
para1310,Pará Arára,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aap,cari1283,Cariban,xing1247,Xinguan,South America,Brazil,-3.71263,-53.0657
east2544,Eastern Abenaki,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aaq,algi1248,Algic,aben1250,Abenaki,North America,United States,45.0112,-68.6617
afar1241,Afar,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aar,afro1255,Afro-Asiatic,saho1245,Saho-Afar,Africa,Djibouti;Eritrea;Ethiopia,12.2281,41.8083
aasa1238,Aasax,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aas,afro1255,Afro-Asiatic,sout3054,South Cushitic,Africa,"Tanzania, United Republic of",-4.00679,36.8648
arva1236,Arvanitika Albanian,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aat,indo1319,Indo-European,sout3378,Southern Tosk,Eurasia,Greece,38.283,23.3703
abau1245,Abau,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aau,sepi1257,Sepik,sepi1257,Sepik,Papunesia,Papua New Guinea,-3.97222,141.324
solo1258,Solong,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aaw,aust1307,Austronesian,west2530,West Arawe,Papunesia,Papua New Guinea,-5.86129,148.825
mand1444,Mandobo Atas,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aax,nucl1709,Nuclear Trans New Guinea,mand1473,Mandobo,Papunesia,Indonesia,-5.69357,140.624
amar1273,Amarasi,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aaz,aust1307,Austronesian,uabm1238,Meto,Papunesia,Indonesia,-10.21751,123.96373
abee1242,Abé,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",aba,atla1278,Atlantic-Congo,agne1238,Agneby,Africa,Côte d'Ivoire,5.59682,-4.38497
bank1256,Bankon,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abb,atla1278,Atlantic-Congo,abob1234,Abo-Barombi,Africa,Cameroon,4.3702,9.6403
amba1267,Ambala Ayta,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abc,aust1307,Austronesian,samb1319,Sambalic,Papunesia,Philippines,14.8156,120.283
cama1250,Camarines Norte Agta,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abd,aust1307,Austronesian,alab1255,Alabat-Manide Agta,Papunesia,Philippines,14.1571,122.835
west2630,Western Abenaki,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abe,algi1248,Algic,aben1250,Abenaki,North America,Canada;United States,46.1381,-72.6511
abai1240,Abai Sungai,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abf,aust1307,Austronesian,pait1248,Paitanic,Papunesia,Malaysia,5.55394,118.306
abag1245,Abaga,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abg,nucl1709,Nuclear Trans New Guinea,unun9976,Unclassified Kamano-Yagaria,Papunesia,Papua New Guinea,-6.12028,145.665
taji1248,Tajiki Arabic,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abh,afro1255,Afro-Asiatic,cent2410,Central Asian Arabic,Eurasia,Afghanistan;Tajikistan;Uzbekistan,37.2176,67.3267
abid1235,Abidji,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abi,atla1278,Atlantic-Congo,agne1238,Agneby,Africa,Côte d'Ivoire,5.65656,-4.58421
akab1249,Akabea,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abj,grea1241,Great Andamanese,sout2683,South Great Andamanese,Eurasia,India,12.3782,92.7818
abkh1244,Abkhaz,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abk,abkh1242,Abkhaz-Adyge,abkh1243,Abkhaz-Abaza,Eurasia,Georgia;Russian Federation;Türkiye,43.056218,41.159115
lamp1242,Lampung Nyo,"LanguoidLevel(ordinal=2, id='language', description='defined by mutual non-intellegibility')",abl,aust1307,Austronesian,lamp1241,Lampungic,Papunesia,Indonesia,-4.43957,105.397
